,County,Number Hostpitalized Total,Number in ICU,Deaths,Tested Positive,Tested Total,Source
4/20/2020,Orange County,284,73,33,1679,,https://docs.google.com/spreadsheets/d/1IGCV7M17ziP7bHUzlMudJrssu_H3M6Pyi76kkK7sdfA/edit?fbclid=IwAR0YHauFeQmrVvWqZ806QaBcZ_IWcU3m5aStBTojUGNvE5Ds2NkyjHN5fXo#gid=0
4/19/2020,Orange County,277,87,32,1591,,https://docs.google.com/spreadsheets/d/1IGCV7M17ziP7bHUzlMudJrssu_H3M6Pyi76kkK7sdfA/edit?fbclid=IwAR0YHauFeQmrVvWqZ806QaBcZ_IWcU3m5aStBTojUGNvE5Ds2NkyjHN5fXo#gid=0
4/18/2020,Orange County,292,97,32,1569,,https://docs.google.com/spreadsheets/d/1IGCV7M17ziP7bHUzlMudJrssu_H3M6Pyi76kkK7sdfA/edit?fbclid=IwAR0YHauFeQmrVvWqZ806QaBcZ_IWcU3m5aStBTojUGNvE5Ds2NkyjHN5fXo#gid=0
4/17/2020,Orange County,274,94,28,1496,,https://docs.google.com/spreadsheets/d/1IGCV7M17ziP7bHUzlMudJrssu_H3M6Pyi76kkK7sdfA/edit?fbclid=IwAR0YHauFeQmrVvWqZ806QaBcZ_IWcU3m5aStBTojUGNvE5Ds2NkyjHN5fXo#gid=0
4/16/2020,Orange County,338,98,26,1439,,https://docs.google.com/spreadsheets/d/1IGCV7M17ziP7bHUzlMudJrssu_H3M6Pyi76kkK7sdfA/edit?fbclid=IwAR0YHauFeQmrVvWqZ806QaBcZ_IWcU3m5aStBTojUGNvE5Ds2NkyjHN5fXo#gid=0
4/15/2020,Orange County,354,114,22,1377,,https://docs.google.com/spreadsheets/d/1IGCV7M17ziP7bHUzlMudJrssu_H3M6Pyi76kkK7sdfA/edit?fbclid=IwAR0YHauFeQmrVvWqZ806QaBcZ_IWcU3m5aStBTojUGNvE5Ds2NkyjHN5fXo#gid=0
4/14/2020,Orange County,313,102,21,1362,,https://docs.google.com/spreadsheets/d/1IGCV7M17ziP7bHUzlMudJrssu_H3M6Pyi76kkK7sdfA/edit?fbclid=IwAR0YHauFeQmrVvWqZ806QaBcZ_IWcU3m5aStBTojUGNvE5Ds2NkyjHN5fXo#gid=0
4/13/2020,Orange County,356,115,21,1313,,https://docs.google.com/spreadsheets/d/1IGCV7M17ziP7bHUzlMudJrssu_H3M6Pyi76kkK7sdfA/edit?fbclid=IwAR0YHauFeQmrVvWqZ806QaBcZ_IWcU3m5aStBTojUGNvE5Ds2NkyjHN5fXo#gid=0
4/12/2020,Orange County,365,116,21,1283,,https://docs.google.com/spreadsheets/d/1IGCV7M17ziP7bHUzlMudJrssu_H3M6Pyi76kkK7sdfA/edit?fbclid=IwAR0YHauFeQmrVvWqZ806QaBcZ_IWcU3m5aStBTojUGNvE5Ds2NkyjHN5fXo#gid=0
4/11/2020,Orange County,316,106,21,1267,,https://docs.google.com/spreadsheets/d/1IGCV7M17ziP7bHUzlMudJrssu_H3M6Pyi76kkK7sdfA/edit?fbclid=IwAR0YHauFeQmrVvWqZ806QaBcZ_IWcU3m5aStBTojUGNvE5Ds2NkyjHN5fXo#gid=0
4/10/2020,Orange County,287,100,17,1167,,https://docs.google.com/spreadsheets/d/1IGCV7M17ziP7bHUzlMudJrssu_H3M6Pyi76kkK7sdfA/edit?fbclid=IwAR0YHauFeQmrVvWqZ806QaBcZ_IWcU3m5aStBTojUGNvE5Ds2NkyjHN5fXo#gid=0
4/9/2020,Orange County,334,83,19,1105,,https://docs.google.com/spreadsheets/d/1IGCV7M17ziP7bHUzlMudJrssu_H3M6Pyi76kkK7sdfA/edit?fbclid=IwAR0YHauFeQmrVvWqZ806QaBcZ_IWcU3m5aStBTojUGNvE5Ds2NkyjHN5fXo#gid=0
4/8/2020,Orange County,263,74,19,1034,,https://docs.google.com/spreadsheets/d/1IGCV7M17ziP7bHUzlMudJrssu_H3M6Pyi76kkK7sdfA/edit?fbclid=IwAR0YHauFeQmrVvWqZ806QaBcZ_IWcU3m5aStBTojUGNvE5Ds2NkyjHN5fXo#gid=0
4/7/2020,Orange County,268,94,19,971,,https://docs.google.com/spreadsheets/d/1IGCV7M17ziP7bHUzlMudJrssu_H3M6Pyi76kkK7sdfA/edit?fbclid=IwAR0YHauFeQmrVvWqZ806QaBcZ_IWcU3m5aStBTojUGNvE5Ds2NkyjHN5fXo#gid=0
4/6/2020,Orange County,129,75,NA,NA,,https://occovid19.ochealthinfo.com/coronavirus-in-oc
4/5/2020,Orange County,130,72,NA,NA,,https://occovid19.ochealthinfo.com/coronavirus-in-oc
4/4/2020,Orange County,149,63,NA,NA,,https://occovid19.ochealthinfo.com/coronavirus-in-oc
4/3/2020,Orange County,112,71,NA,NA,,https://occovid19.ochealthinfo.com/coronavirus-in-oc
4/2/2020,Orange County,103,44,NA,NA,,https://occovid19.ochealthinfo.com/coronavirus-in-oc
4/1/2020,Orange County,115,115,NA,NA,,https://occovid19.ochealthinfo.com/coronavirus-in-oc
3/31/2020,Orange County,67,31,NA,NA,,https://occovid19.ochealthinfo.com/coronavirus-in-oc
3/30/2020,Orange County,94,46,NA,NA,,https://occovid19.ochealthinfo.com/coronavirus-in-oc
3/27/2020,Orange County,50,31,NA,NA,,https://occovid19.ochealthinfo.com/coronavirus-in-oc
4/20/2020,Los Angeles County,2354,699,617,13787,,https://docs.google.com/spreadsheets/d/1IGCV7M17ziP7bHUzlMudJrssu_H3M6Pyi76kkK7sdfA/edit?fbclid=IwAR0YHauFeQmrVvWqZ806QaBcZ_IWcU3m5aStBTojUGNvE5Ds2NkyjHN5fXo#gid=0
4/19/2020,Los Angeles County,2287,696,600,12299,,https://docs.google.com/spreadsheets/d/1IGCV7M17ziP7bHUzlMudJrssu_H3M6Pyi76kkK7sdfA/edit?fbclid=IwAR0YHauFeQmrVvWqZ806QaBcZ_IWcU3m5aStBTojUGNvE5Ds2NkyjHN5fXo#gid=0
4/18/2020,Los Angeles County,2288,710,576,11984,,https://docs.google.com/spreadsheets/d/1IGCV7M17ziP7bHUzlMudJrssu_H3M6Pyi76kkK7sdfA/edit?fbclid=IwAR0YHauFeQmrVvWqZ806QaBcZ_IWcU3m5aStBTojUGNvE5Ds2NkyjHN5fXo#gid=0
4/17/2020,Los Angeles County,2393,718,495,11354,,https://docs.google.com/spreadsheets/d/1IGCV7M17ziP7bHUzlMudJrssu_H3M6Pyi76kkK7sdfA/edit?fbclid=IwAR0YHauFeQmrVvWqZ806QaBcZ_IWcU3m5aStBTojUGNvE5Ds2NkyjHN5fXo#gid=0
4/16/2020,Los Angeles County,2071,555,455,10786,,https://docs.google.com/spreadsheets/d/1IGCV7M17ziP7bHUzlMudJrssu_H3M6Pyi76kkK7sdfA/edit?fbclid=IwAR0YHauFeQmrVvWqZ806QaBcZ_IWcU3m5aStBTojUGNvE5Ds2NkyjHN5fXo#gid=0
4/15/2020,Los Angeles County,2088,539,402,10416,,https://docs.google.com/spreadsheets/d/1IGCV7M17ziP7bHUzlMudJrssu_H3M6Pyi76kkK7sdfA/edit?fbclid=IwAR0YHauFeQmrVvWqZ806QaBcZ_IWcU3m5aStBTojUGNvE5Ds2NkyjHN5fXo#gid=0
4/14/2020,Los Angeles County,2201,631,360,9948,,https://docs.google.com/spreadsheets/d/1IGCV7M17ziP7bHUzlMudJrssu_H3M6Pyi76kkK7sdfA/edit?fbclid=IwAR0YHauFeQmrVvWqZ806QaBcZ_IWcU3m5aStBTojUGNvE5Ds2NkyjHN5fXo#gid=0
4/13/2020,Los Angeles County,2197,630,320,9367,,https://docs.google.com/spreadsheets/d/1IGCV7M17ziP7bHUzlMudJrssu_H3M6Pyi76kkK7sdfA/edit?fbclid=IwAR0YHauFeQmrVvWqZ806QaBcZ_IWcU3m5aStBTojUGNvE5Ds2NkyjHN5fXo#gid=0
4/12/2020,Los Angeles County,2176,639,296,9133,,https://docs.google.com/spreadsheets/d/1IGCV7M17ziP7bHUzlMudJrssu_H3M6Pyi76kkK7sdfA/edit?fbclid=IwAR0YHauFeQmrVvWqZ806QaBcZ_IWcU3m5aStBTojUGNvE5Ds2NkyjHN5fXo#gid=0
4/11/2020,Los Angeles County,2236,661,265,8823,,https://docs.google.com/spreadsheets/d/1IGCV7M17ziP7bHUzlMudJrssu_H3M6Pyi76kkK7sdfA/edit?fbclid=IwAR0YHauFeQmrVvWqZ806QaBcZ_IWcU3m5aStBTojUGNvE5Ds2NkyjHN5fXo#gid=0
4/10/2020,Los Angeles County,2601,679,241,8384,,https://docs.google.com/spreadsheets/d/1IGCV7M17ziP7bHUzlMudJrssu_H3M6Pyi76kkK7sdfA/edit?fbclid=IwAR0YHauFeQmrVvWqZ806QaBcZ_IWcU3m5aStBTojUGNvE5Ds2NkyjHN5fXo#gid=0
4/9/2020,Los Angeles County,2408,743,220,7919,,https://docs.google.com/spreadsheets/d/1IGCV7M17ziP7bHUzlMudJrssu_H3M6Pyi76kkK7sdfA/edit?fbclid=IwAR0YHauFeQmrVvWqZ806QaBcZ_IWcU3m5aStBTojUGNvE5Ds2NkyjHN5fXo#gid=0
4/8/2020,Los Angeles County,2126,697,196,7505,,https://docs.google.com/spreadsheets/d/1IGCV7M17ziP7bHUzlMudJrssu_H3M6Pyi76kkK7sdfA/edit?fbclid=IwAR0YHauFeQmrVvWqZ806QaBcZ_IWcU3m5aStBTojUGNvE5Ds2NkyjHN5fXo#gid=0
4/7/2020,Los Angeles County,2053,656,170,6885,,https://docs.google.com/spreadsheets/d/1IGCV7M17ziP7bHUzlMudJrssu_H3M6Pyi76kkK7sdfA/edit?fbclid=IwAR0YHauFeQmrVvWqZ806QaBcZ_IWcU3m5aStBTojUGNvE5Ds2NkyjHN5fXo#gid=0
4/6/2020,Los Angeles County,2236,661,145,6346,,https://public.tableau.com/views/COVID-19PublicDashboard/Covid-19Hospitals?:embed=y&:display_count=no&:showVizHome=no
4/5/2020,Los Angeles County,2176,639,130,5892,,https://data.chhs.ca.gov/dataset/california-covid-19-hospital-data-and-case-statistics
4/4/2020,Los Angeles County,2197,630,117,5275,,https://data.chhs.ca.gov/dataset/california-covid-19-hospital-data-and-case-statistics
4/3/2020,Los Angeles County,2201,631,91,4566,,https://data.chhs.ca.gov/dataset/california-covid-19-hospital-data-and-case-statistics
4/2/2020,Los Angeles County,2088,539,79,4040,,https://data.chhs.ca.gov/dataset/california-covid-19-hospital-data-and-case-statistics
